Year,Name,Frequency,Rank
1980,Michael,169,M
1980,Christopher,144,M
1980,Jason,143,M
1980,Matthew,120,M
1980,David,112,M
1980,Andrew,95,M
1980,Daniel,94,M
1980,Joseph,90,M
1980,Robert,89,M
1980,Eric,83,M
1980,Marc,82,M
1980,Adam,81,M
1980,Mark,81,M
1980,Ryan,78,M
1980,Scott,74,M
1980,Kevin,72,M
1980,Justin,71,M
1980,Brian,71,M
1980,James,70,M
1980,Nicholas,70,M
1980,Amanda,199,F
1980,Melissa,162,F
1980,Jennifer,139,F
1980,Julie,100,F
1980,Sarah,79,F
1980,Lisa,77,F
1980,Amy,76,F
1980,Melanie,67,F
1980,Marie,67,F
1980,Michelle,60,F
1980,Angela,55,F
1980,Stephanie,54,F
1980,Tanya,52,F
1980,Erin,51,F
1980,Christine,47,F
1980,Heather,45,F
1980,Nicole,44,F
1980,Annie,43,F
1980,Cindy,43,F
1980,Sylvie,43,F
1981,Matthew,166,M
1981,Ryan,141,M
1981,Michael,137,M
1981,Joseph,135,M
1981,Jason,129,M
1981,Christopher,127,M
1981,David,109,M
1981,Daniel,102,M
1981,Jonathan,101,M
1981,Andrew,95,M
1981,James,84,M
1981,Justin,81,M
1981,Eric,78,M
1981,Adam,78,M
1981,Kevin,76,M
1981,Robert,75,M
1981,Marc,72,M
1981,Mathieu,72,M
1981,Jeremy,67,M
1981,Nicholas,65,M
1981,Melissa,162,F
1981,Jennifer,160,F
1981,Amanda,138,F
1981,Julie,106,F
1981,Marie,101,F
1981,Sarah,98,F
1981,Amy,73,F
1981,Lisa,59,F
1981,Melanie,58,F
1981,Christine,56,F
1981,Stephanie,55,F
1981,Michelle,52,F
1981,Mélanie,50,F
1981,Angela,48,F
1981,Tanya,46,F
1981,Annie,46,F
1981,Cindy,43,F
1981,Krista,43,F
1981,Erin,42,F
1981,Heather,40,F
1982,Christopher,171,M
1982,Matthew,164,M
1982,Michael,157,M
1982,Jason,135,M
1982,Joseph,129,M
1982,David,116,M
1982,Jonathan,111,M
1982,Ryan,109,M
1982,Andrew,100,M
1982,Adam,92,M
1982,Robert,80,M
1982,James,80,M
1982,Eric,77,M
1982,Kevin,74,M
1982,Daniel,72,M
1982,John,69,M
1982,Mathieu,68,M
1982,Justin,64,M
1982,Marc,59,M
1982,Jeremy,59,M
1982,Jennifer,174,F
1982,Melissa,137,F
1982,Amanda,126,F
1982,Marie,95,F
1982,Jessica,95,F
1982,Sarah,92,F
1982,Julie,92,F
1982,Melanie,82,F
1982,Amy,71,F
1982,Stephanie,65,F
1982,Crystal,60,F
1982,Angela,53,F
1982,Lisa,50,F
1982,Christine,48,F
1982,Michelle,45,F
1982,Erin,44,F
1982,Nicole,43,F
1982,Nathalie,41,F
1982,Mélanie,41,F
1982,Sylvie,40,F
1983,Matthew,173,M
1983,Michael,143,M
1983,Christopher,131,M
1983,Joseph,127,M
1983,Ryan,123,M
1983,Jason,112,M
1983,Andrew,103,M
1983,Justin,96,M
1983,David,95,M
1983,Adam,94,M
1983,Jonathan,92,M
1983,Daniel,91,M
1983,Nicholas,82,M
1983,Mathieu,78,M
1983,Kevin,73,M
1983,Eric,70,M
1983,Robert,69,M
1983,James,69,M
1983,Marc,69,M
1983,Mark,69,M
1983,Jennifer,145,F
1983,Jessica,121,F
1983,Amanda,119,F
1983,Melissa,116,F
1983,Julie,95,F
1983,Sarah,90,F
1983,Stephanie,86,F
1983,Marie,74,F
1983,Amy,67,F
1983,Ashley,62,F
1983,Crystal,60,F
1983,Lisa,59,F
1983,Nicole,51,F
1983,Erin,50,F
1983,Melanie,48,F
1983,Isabelle,45,F
