Year,Name,Frequency,Rank
1980,Amanda,199,F
1980,Melissa,162,F
1980,Jennifer,139,F
1980,Julie,100,F
1980,Sarah,79,F
1980,Lisa,77,F
1980,Amy,76,F
1980,Melanie,67,F
1980,Marie,67,F
1980,Michelle,60,F
1980,Angela,55,F
1980,Stephanie,54,F
1980,Tanya,52,F
1980,Erin,51,F
1980,Christine,47,F
1980,Heather,45,F
1980,Nicole,44,F
1980,Annie,43,F
1980,Cindy,43,F
1980,Sylvie,43,F
1981,Melissa,162,F
1981,Jennifer,160,F
1981,Amanda,138,F
1981,Julie,106,F
1981,Marie,101,F
1981,Sarah,98,F
1981,Amy,73,F
1981,Lisa,59,F
1981,Melanie,58,F
1981,Christine,56,F
1981,Stephanie,55,F
1981,Michelle,52,F
1981,Mélanie,50,F
1981,Angela,48,F
1981,Tanya,46,F
1981,Annie,46,F
1981,Cindy,43,F
1981,Krista,43,F
1981,Erin,42,F
1981,Heather,40,F
1982,Jennifer,174,F
1982,Melissa,137,F
1982,Amanda,126,F
1982,Marie,95,F
1982,Jessica,95,F
1982,Sarah,92,F
1982,Julie,92,F
1982,Melanie,82,F
1982,Amy,71,F
1982,Stephanie,65,F
1982,Crystal,60,F
1982,Angela,53,F
1982,Lisa,50,F
1982,Christine,48,F
1982,Michelle,45,F
1982,Erin,44,F
1982,Nicole,43,F
1982,Nathalie,41,F
1982,Mélanie,41,F
1982,Sylvie,40,F
1983,Jennifer,145,F
1983,Jessica,121,F
1983,Amanda,119,F
1983,Melissa,116,F
1983,Julie,95,F
1983,Sarah,90,F
1983,Stephanie,86,F
1983,Marie,74,F
1983,Amy,67,F
1983,Ashley,62,F
1983,Crystal,60,F
1983,Lisa,59,F
1983,Nicole,51,F
1983,Erin,50,F
1983,Melanie,48,F
1983,Isabelle,45,F
1983,Mélanie,45,F
1983,Michelle,43,F
1983,Christine,42,F
1983,Angela,42,F
1984,Jennifer,146,F
1984,Jessica,120,F
1984,Melissa,118,F
1984,Amanda,109,F
1984,Sarah,95,F
1984,Ashley,90,F
1984,Marie,83,F
1984,Stephanie,72,F
1984,Julie,70,F
1984,Laura,66,F
1984,Mélanie,56,F
1984,Amy,53,F
1984,Nicole,50,F
1984,Melanie,48,F
1984,Lisa,46,F
1984,Michelle,44,F
1984,Christine,44,F
1984,Megan,42,F
1984,Danielle,42,F
1984,Erin,41,F
1985,Jessica,124,F
1985,Jennifer,113,F
1985,Amanda,111,F
1985,Ashley,104,F
1985,Melissa,100,F
1985,Julie,89,F
1985,Sarah,84,F
1985,Stephanie,76,F
1985,Amy,74,F
1985,Laura,68,F
1985,Marie,61,F
1985,Mélanie,60,F
1985,Megan,52,F
1985,Melanie,49,F
1985,Christine,44,F
1985,Michelle,43,F
1985,Rebecca,41,F
1985,Nicole,40,F
1985,Lindsay,39,F
1985,Vanessa,37,F
1986,Jessica,134,F
1986,Amanda,112,F
1986,Sarah,108,F
1986,Ashley,102,F
1986,Jennifer,98,F
1986,Melissa,88,F
1986,Julie,73,F
1986,Marie,68,F
1986,Laura,59,F
1986,Stephanie,54,F
1986,Nicole,52,F
1986,Megan,52,F
1986,Mélanie,51,F
1986,Amy,49,F
1986,Brittany,46,F
1986,Michelle,44,F
1986,Rebecca,43,F
1986,Lisa,42,F
1986,Christine,39,F
1986,Natasha,38,F
1987,Jessica,174,F
1987,Ashley,134,F
1987,Amanda,92,F
1987,Sarah,91,F
1987,Jennifer,79,F
1987,Melissa,77,F
1987,Julie,65,F
1987,Amy,60,F
1987,Nicole,50,F
1987,Megan,50,F
1987,Stephanie,50,F
1987,Christine,46,F
1987,Laura,46,F
1987,Michelle,43,F
1987,Samantha,43,F
1987,Marie,42,F
1987,Mélanie,40,F
1987,Danielle,39,F
1987,Vanessa,38,F
1987,Chantal,35,F
1988,Jessica,169,F
1988,Amanda,117,F
1988,Sarah,97,F
1988,Ashley,91,F
1988,Melissa,88,F
1988,Jennifer,74,F
1988,Stephanie,60,F
1988,Marie,57,F
1988,Samantha,55,F
1988,Julie,53,F
1988,Vanessa,48,F
1988,Amy,48,F
1988,Nicole,47,F
1988,Tiffany,44,F
1988,Laura,43,F
1988,Megan,42,F
1988,Rebecca,42,F
1988,Christine,42,F
1988,Michelle,40,F
1988,Katelyn,39,F
1989,Jessica,169,F
1989,Samantha,115,F
1989,Ashley,105,F
1989,Sarah,102,F
1989,Melissa,86,F
1989,Amanda,82,F
1989,Stephanie,67,F
1989,Brittany,62,F
1989,Jennifer,62,F
1989,Marie,58,F
1989,Julie,55,F
1989,Emily,54,F
1989,Laura,53,F
1989,Megan,51,F
1989,Kayla,51,F
1989,Vanessa,50,F
1989,Katelyn,49,F
1989,Tiffany,46,F
1989,Nicole,45,F
1989,Courtney,43,F
1990,Jessica,208,F
1990,Samantha,108,F
1990,Amanda,95,F
1990,Sarah,91,F
1990,Ashley,87,F
1990,Kayla,75,F
1990,Stephanie,70,F
1990,Brittany,68,F
1990,Vanessa,61,F
1990,Melissa,59,F
1990,Emily,57,F
1990,Rebecca,56,F
1990,Jennifer,52,F
1990,Marie,49,F
1990,Julie,46,F
1990,Megan,45,F
1990,Laura,42,F
1990,Katelyn,41,F
1990,Courtney,37,F
1990,Danielle,36,F
1990,Christine,36,F
1991,Jessica,176,F
1991,Samantha,88,F
1991,Ashley,84,F
1991,Sarah,83,F
1991,Stephanie,71,F
1991,Kayla,70,F
1991,Emily,65,F
1991,Amanda,61,F
1991,Melissa,60,F
1991,Brittany,59,F
1991,Jennifer,56,F
1991,Vanessa,53,F
1991,Rebecca,51,F
1991,Megan,50,F
1991,Julie,45,F
1991,Laura,44,F
1991,Marie,44,F
1991,Courtney,43,F
1991,Jenna,42,F
1991,Kelsey,37,F
1992,Jessica,170,F
1992,Samantha,100,F
1992,Ashley,98,F
1992,Sarah,85,F
1992,Stephanie,70,F
1992,Kayla,68,F
1992,Brittany,67,F
1992,Megan,66,F
1992,Emily,60,F
1992,Julie,53,F
1992,Melissa,51,F
1992,Rebecca,49,F
1992,Vanessa,47,F
1992,Jenna,45,F
1992,Laura,45,F
1992,Kelsey,44,F
1992,Jennifer,44,F
1992,Amanda,43,F
1992,Courtney,41,F
1992,Marie,39,F
1993,Jessica,132,F
1993,Samantha,79,F
1993,Sarah,79,F
1993,Emily,77,F
1993,Ashley,72,F
1993,Brittany,62,F
1993,Rebecca,58,F
1993,Julie,50,F
1993,Vanessa,48,F
1993,Kelsey,48,F
1993,Stephanie,47,F
1993,Jennifer,44,F
1993,Amanda,42,F
1993,Laura,41,F
1993,Kayla,41,F
1993,Marie,39,F
1993,Jenna,38,F
1993,Danielle,38,F
1993,Michelle,37,F
1993,Megan,37,F
1994,Jessica,117,F
1994,Samantha,94,F
1994,Emily,78,F
1994,Sarah,65,F
1994,Ashley,64,F
1994,Rebecca,63,F
1994,Kelsey,60,F
1994,Brittany,55,F
1994,Stephanie,44,F
1994,Kayla,43,F
1994,Melissa,42,F
1994,Megan,41,F
1994,Taylor,40,F
1994,Jennifer,40,F
1994,Morgan,40,F
1994,Marie,38,F
1994,Jenna,36,F
1994,Amanda,35,F
1994,Katelyn,35,F
1994,Vanessa,34,F
1995,Jessica,109,F
