Year,Name,Frequency,Rank
1980,Michael,169,M
1980,Christopher,144,M
1980,Jason,143,M
1980,Matthew,120,M
1980,David,112,M
1980,Andrew,95,M
1980,Daniel,94,M
1980,Joseph,90,M
1980,Robert,89,M
1980,Eric,83,M
1980,Marc,82,M
1980,Adam,81,M
1980,Mark,81,M
1980,Ryan,78,M
1980,Scott,74,M
1980,Kevin,72,M
1980,Justin,71,M
1980,Brian,71,M
1980,James,70,M
1980,Nicholas,70,M
1981,Matthew,166,M
1981,Ryan,141,M
1981,Michael,137,M
1981,Joseph,135,M
1981,Jason,129,M
1981,Christopher,127,M
1981,David,109,M
1981,Daniel,102,M
1981,Jonathan,101,M
1981,Andrew,95,M
1981,James,84,M
1981,Justin,81,M
1981,Eric,78,M
1981,Adam,78,M
1981,Kevin,76,M
1981,Robert,75,M
1981,Marc,72,M
1981,Mathieu,72,M
1981,Jeremy,67,M
1981,Nicholas,65,M
1982,Christopher,171,M
1982,Matthew,164,M
1982,Michael,157,M
1982,Jason,135,M
1982,Joseph,129,M
1982,David,116,M
1982,Jonathan,111,M
1982,Ryan,109,M
1982,Andrew,100,M
1982,Adam,92,M
1982,Robert,80,M
1982,James,80,M
1982,Eric,77,M
1982,Kevin,74,M
1982,Daniel,72,M
1982,John,69,M
1982,Mathieu,68,M
1982,Justin,64,M
1982,Marc,59,M
1982,Jeremy,59,M
1983,Matthew,173,M
1983,Michael,143,M
1983,Christopher,131,M
1983,Joseph,127,M
1983,Ryan,123,M
1983,Jason,112,M
1983,Andrew,103,M
1983,Justin,96,M
1983,David,95,M
1983,Adam,94,M
1983,Jonathan,92,M
1983,Daniel,91,M
1983,Nicholas,82,M
1983,Mathieu,78,M
1983,Kevin,73,M
1983,Eric,70,M
1983,Robert,69,M
1983,James,69,M
1983,Marc,69,M
1983,Mark,69,M
1984,Matthew,165,M
1984,Christopher,151,M
1984,Michael,144,M
1984,Jason,127,M
1984,Joseph,119,M
1984,Andrew,112,M
1984,Joshua,108,M
1984,Ryan,106,M
1984,Daniel,95,M
1984,Adam,94,M
1984,Mathieu,92,M
1984,Justin,89,M
1984,Jonathan,84,M
1984,Nicholas,81,M
1984,Kevin,80,M
1984,David,78,M
1984,Eric,70,M
1984,James,65,M
1984,Jeffrey,64,M
1984,Marc,62,M
1985,Matthew,153,M
1985,Christopher,136,M
1985,Jason,119,M
1985,Michael,112,M
1985,Jonathan,97,M
1985,Ryan,95,M
1985,Joshua,89,M
1985,Joseph,88,M
1985,Daniel,86,M
1985,Adam,84,M
1985,Justin,81,M
1985,Andrew,80,M
1985,James,77,M
1985,Kevin,74,M
1985,David,73,M
1985,Jeffrey,72,M
1985,Mathieu,72,M
1985,Robert,68,M
1985,Eric,66,M
1985,Nicholas,62,M
1986,Christopher,162,M
1986,Matthew,138,M
1986,Michael,129,M
1986,Joshua,105,M
1986,Justin,104,M
1986,Ryan,102,M
1986,Joseph,101,M
1986,Andrew,94,M
1986,Jonathan,91,M
1986,Nicholas,86,M
1986,Daniel,86,M
1986,David,83,M
1986,Jason,83,M
1986,Patrick,74,M
1986,Adam,68,M
1986,Jeremy,68,M
1986,James,67,M
1986,Kevin,66,M
1986,Kyle,65,M
1986,Robert,57,M
1987,Matthew,165,M
1987,Michael,146,M
1987,Ryan,110,M
1987,Andrew,110,M
1987,Christopher,109,M
1987,Justin,90,M
1987,Jonathan,84,M
1987,Joshua,81,M
1987,Patrick,81,M
1987,Jason,79,M
1987,Joseph,79,M
1987,Mathieu,77,M
1987,Scott,75,M
1987,Daniel,74,M
1987,Jeremy,69,M
1987,Adam,66,M
