Name,2021 Rank,2021 Count,2020 Rank,2020 Count,2019 Rank,2019 Count,2018 Rank,2018 Count,2017 Rank,2017 Count,2016 Rank,2016 Count,2015 Rank,2015 Count,2014 Rank,2014 Count,2013 Rank,2013 Count,2012 Rank,2012 Count,2011 Rank,2011 Count,2010 Rank,2010 Count,2009 Rank,2009 Count,2008 Rank,2008 Count,2007 Rank,2007 Count,2006 Rank,2006 Count,2005 Rank,2005 Count,2004 Rank,2004 Count,2003 Rank,2003 Count,2002 Rank,2002 Count,2001 Rank,2001 Count,2000 Rank,2000 Count,1999 Rank,1999 Count,1998 Rank,1998 Count,1997 Rank,1997 Count,1996 Rank,1996 Count
A,"3,451",5,"3,848",4,"2,104",10,"3,959",4,"3,996",4,"2,335",9,"2,020",11,"2,964",6,"2,660",7,"1,589",15,"2,613",7,"2,941",6,[x],[x],"3,158",5,"2,741",6,"2,870",5,[x],[x],[x],[x],[x],[x],[x],[x],"3,134",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
A-Jay,"3,451",5,"2,960",6,[x],[x],"3,011",6,"1,923",12,"2,335",9,"2,707",7,"3,895",4,"2,403",8,"3,416",5,"2,613",7,"2,629",7,"3,744",4,"3,158",5,"3,095",5,"2,870",5,"3,849",3,"1,878",8,[x],[x],"2,636",4,"3,134",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
A.J.,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],"4,527",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],"2,943",3,[x],[x],[x],[x],[x],[x]
Aaban,"3,990",4,"3,848",4,"3,937",4,"3,412",5,"2,324",9,"4,810",3,"2,319",9,"1,281",20,"1,706",13,"1,313",19,"1,909",11,"2,036",10,"3,227",5,"2,507",7,"4,333",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Aabid,[x],[x],"4,608",3,"3,937",4,"3,959",4,"3,996",4,"4,810",3,"3,004",6,"4,632",3,[x],[x],[x],[x],[x],[x],"3,332",5,[x],[x],[x],[x],[x],[x],"4,052",3,[x],[x],[x],[x],[x],[x],[x],[x],"3,134",3,"2,142",5,[x],[x],"2,901",3,[x],[x],[x],[x]
Aadam,457,90,456,86,327,140,328,140,421,104,326,145,322,143,374,109,373,109,434,91,467,80,543,63,432,87,461,77,470,72,472,66,374,84,413,67,381,69,334,77,444,48,472,42,418,53,430,49,578,30,588,28
Aadan,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],"4,632",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Aadarsh,[x],[x],[x],[x],[x],[x],[x],[x],"3,040",6,[x],[x],"4,747",3,[x],[x],[x],[x],[x],[x],"3,830",4,[x],[x],[x],[x],[x],[x],"3,589",4,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Aaden,"3,451",5,[x],[x],[x],[x],"2,693",7,"3,996",4,"2,556",8,[x],[x],[x],[x],"3,315",5,[x],[x],"4,647",3,"2,941",6,"3,744",4,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Aadesh,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],"3,908",4,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Aadham,[x],[x],[x],[x],"3,937",4,[x],[x],[x],[x],[x],[x],"4,747",3,[x],[x],[x],[x],"4,805",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],"3,467",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Aadhav,"3,451",5,"4,608",3,"3,937",4,"3,959",4,[x],[x],"4,023",4,"3,908",4,[x],[x],"4,685",3,"2,721",7,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Aadheen,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],"4,747",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Aadhi,"3,017",6,"3,334",5,[x],[x],[x],[x],[x],[x],[x],[x],"4,747",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Aadhidev,[x],[x],[x],[x],[x],[x],"4,749",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Aadhil,[x],[x],[x],[x],"4,702",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
