Rank,Baby Boy Names,,Year,Counts
1,Noah,,2022,58
2,Liam,,2022,52
3,Leo,,2022,47
4,Jack,,2022,44
5,Lucas,,2022,44
6,Benjamin,,2022,43
7,Theodore,,2022,43
8,James,,2022,42
9,Levi,,2022,40
10,Lincoln,,2022,40
11,Oliver,,2022,40
12,Walker,,2022,39
13,William,,2022,36
14,Maverick,,2022,33
15,Asher,,2022,32
16,Beau,,2022,32
17,Hudson,,2022,32
18,Luke,,2022,31
19,Alexander,,2022,30
20,Elijah,,2022,30
Rank,Baby Girl Names,,Year,Counts
1,Olivia,,2022,60
2,Amelia,,2022,44
3,Emma,,2022,43
4,Ava,,2022,41
5,Lily,,2022,39
6,Sophia,,2022,37
7,Isla,,2022,35
8,Charlotte,,2022,33
9,Willow,,2022,32
10,Abigail,,2022,31
11,Nora,,2022,31
12,Aurora,,2022,28
13,Chloe,,2022,28
14,Ivy,,2022,28
15,Mia,,2022,28
16,Ellie,,2022,27
17,Scarlett,,2022,27
18,Ella,,2022,26
19,Emily,,2022,26
20,Hazel,,2022,26
Rank,Baby Boy Names,,Year,Counts
1,Noah,,2021,65
2,Liam,,2021,61
3,Theodore,,2021,59
4,Oliver,,2021,58
5,William,,2021,53
6,Hudson,,2021,50
7,Levi,,2021,50
8,Lincoln,,2021,50
9,Grayson,,2021,41
10,Jackson,,2021,41
11,Henry,,2021,40
12,Benjamin,,2021,39
13,Brooks,,2021,39
14,Maverick,,2021,39
15,Lucas,,2021,38
16,Jack,,2021,37
17,Bennett,,2021,36
18,Emmett,,2021,36
19,Leo,,2021,36
20,Rhett,,2021,35
Rank,Baby Girl Names,,Year,Counts
1,Olivia,,2021,57
2,Sophia,,2021,47
3,Emma,,2021,43
4,Willow,,2021,41
5,Ava,,2021,39
6,Isla,,2021,34
7,Abigail,,2021,32
8,Amelia,,2021,31
9,Charlotte,,2021,31
10,Ellie,,2021,31
11,Harper,,2021,31
12,Hazel,,2021,31
13,Lily,,2021,31
14,Scarlett,,2021,31
15,Aria,,2021,30
16,Ella,,2021,30
17,Emily,,2021,29
18,Aurora,,2021,28
19,Avery,,2021,27
20,Nova,,2021,27
Rank,Baby Boy Names,,Year,Counts
1,Liam,,2020,74
2,Jack,,2020,53
3,Oliver,,2020,49
4,Hudson,,2020,48
5,Noah,,2020,47
6,William,,2020,47
7,Lucas,,2020,44
8,Benjamin,,2020,43
9,Theodore,,2020,43
10,Bennett,,2020,41
11,Henry,,2020,41
12,Lincoln,,2020,41
13,Luke,,2020,41
14,Maverick,,2020,39
15,Owen,,2020,39
16,James,,2020,38
17,Levi,,2020,38
18,Asher,,2020,37
19,Wyatt,,2020,36
20,Brooks,,2020,35
Rank,Baby Girl Names,,Year,Counts
1,Olivia,,2020,79
2,Amelia,,2020,55
