Year,Name,Frequency,Rank
1922,John,305,1
1922,William,240,2
1922,Robert,215,3
1922,James,175,4
1922,George,159,5
1922,Charles,107,6
1922,Arthur,81,7
1922,Gordon,79,8
1922,Thomas,76,9
1922,Donald,74,10
1922,Kenneth,74,10
1922,David,73,11
1922,Richard,65,12
1922,Harold,59,13
1922,Norman,59,13
1922,Joseph,58,14
1922,Walter,50,15
1922,Edward,47,16
1922,Albert,44,17
1922,Ernest,44,17
1922,Frederick,43,18
1922,Roy,43,18
1922,Raymond,42,19
1922,Douglas,40,20
1922,Jack,38,21
1922,Stanley,38,21
1922,Ronald,34,22
1922,Frank,31,23
1922,Alfred,29,24
1922,Harry,27,25
1922,Henry,27,25
1922,Leslie,27,25
1922,Alexander,26,26
1922,Herbert,26,26
1922,Francis,24,27
1922,Allan,23,28
1922,Andrew,21,29
1922,Clifford,21,29
1922,Lloyd,21,29
1922,Peter,21,29
1922,Wilfred,21,29
1922,Lawrence,19,30
1922,Leonard,19,30
1922,Paul,18,31
1922,Allen,17,32
1922,Eric,17,32
1922,Philip,17,32
1922,Bruce,16,33
1922,Hugh,14,34
1922,Bernard,13,35
1922,Edwin,13,35
1922,Ian,13,35
1922,Masao,13,35
1922,Howard,12,36
1922,Louis,12,36
1922,Ralph,12,36
1922,Reginald,12,36
1922,Alan,11,37
1922,Dennis,11,37
1922,Victor,11,37
1922,Yoshio,11,37
1922,Cecil,10,38
1922,Glen,10,38
1922,Patrick,10,38
1922,Toshio,10,38
1922,Cyril,9,39
1922,Fred,9,39
1922,Fredrick,9,39
1922,Gerald,9,39
1922,Gilbert,9,39
1922,Hideo,9,39
1922,Hiroshi,9,39
1922,Kiyoshi,9,39
1922,Maurice,9,39
1922,Minoru,9,39
1922,Roderick,9,39
1922,Sidney,9,39
1922,Stephen,9,39
1922,Clarence,8,40
1922,Desmond,8,40
1922,Earl,8,40
1922,Edgar,8,40
1922,Roger,8,40
1922,Vernon,8,40
1922,Alvin,7,41
1922,Bertram,7,41
1922,Carl,7,41
1922,Kazuo,7,41
1922,Samuel,7,41
1922,Wing,7,41
1922,Arnold,6,42
1922,Colin,6,42
1922,Elmer,6,42
1922,Franklin,6,42
1922,Laurence,6,42
1922,Malcolm,6,42
1922,Michael,6,42
1922,Mitsuo,6,42
1922,Murray,6,42
1922,Shigeo,6,42
1922,Tsutomu,6,42
1922,Vincent,6,42
1922,Akira,5,43
1922,Angus,5,43
1922,Duncan,5,43
1922,Guy,5,43
1922,Harvey,5,43
1922,Hubert,5,43
1922,Isamu,5,43
1922,Neil,5,43
1922,Nick,5,43
1922,Oscar,5,43
1922,Percival,5,43
1922,Percy,5,43
1922,Ross,5,43
1922,Russell,5,43
1922,Shigeru,5,43
1922,Terence,5,43
1922,Trevor,5,43
1922,Wallace,5,43
1922,Aaden,0,44
1922,Aarav,0,44
1922,Aaron,0,44
1922,Aarush,0,44
1922,Aaryan,0,44
1922,Aayan,0,44
1922,Abdul,0,44
1922,Abdulaziz,0,44
1922,Abdullah,0,44
1922,Abeer,0,44
1922,Abel,0,44
1922,Abhijot,0,44
1922,Abir,0,44
1922,Abraham,0,44
1922,Ace,0,44
1922,Achilles,0,44
1922,Adam,0,44
1922,Addison,0,44
1922,Aden,0,44
1922,Aditya,0,44
1922,Adonis,0,44
1922,Adrian,0,44
1922,Adriano,0,44
1922,Adriel,0,44
1922,Adrien,0,44
1922,Aedan,0,44
1922,Agam,0,44
1922,Agamjot,0,44
1922,Agamveer,0,44
1922,Ahaan,0,44
1922,Ahmad,0,44
1922,Ahmed,0,44
1922,Aidan,0,44
1922,Aiden,0,44
1922,Aikam,0,44
1922,Ajay,0,44
1922,Ajeet,0,44
1922,Ajit,0,44
1922,Akash,0,44
1922,Akashdeep,0,44
1922,Akio,0,44
1922,Aksel,0,44
1922,Alain,0,44
1922,Alaric,0,44
1922,Alastair,0,44
1922,Alden,0,44
1922,Alec,0,44
1922,Alejandro,0,44
1922,Aleksandar,0,44
1922,Aleksander,0,44
1922,Alessandro,0,44
1922,Alex,0,44
1922,Alexandre,0,44
1922,Alexis,0,44
1922,Alexzander,0,44
1922,Alfie,0,44
1922,Ali,0,44
1922,Alistair,0,44
1922,Alister,0,44
1922,Alonzo,0,44
1922,Alwyn,0,44
1922,Aly,0,44
1922,Aman,0,44
1922,Amandeep,0,44
1922,Amanpreet,0,44
1922,Amar,0,44
1922,Amardeep,0,44
1922,Amari,0,44
1922,Amarjit,0,44
1922,Amarpreet,0,44
1922,Ambrose,0,44
1922,Amir,0,44
1922,Amit,0,44
1922,Ammar,0,44
1922,Amos,0,44
1922,Amrinder,0,44
1922,Amrit,0,44
1922,Amritpal,0,44
1922,Amritpaul,0,44
1922,Anakin,0,44
1922,Anders,0,44
1922,Anderson,0,44
1922,Andre,0,44
1922,Andreas,0,44
1922,Andrei,0,44
1922,André,0,44
1922,Andy,0,44
1922,Angad,0,44
1922,Angelo,0,44
1922,Anhad,0,44
1922,Anmol,0,44
1922,Anoop,0,44
1922,Ansh,0,44
1922,Anson,0,44
1922,Ante,0,44
1922,Anthony,0,44
1922,Antoine,0,44
1922,Anton,0,44
1922,Antonio,0,44
1922,Antony,0,44
1922,Apollo,0,44
1922,Arad,0,44
1922,Arav,0,44
1922,Archer,0,44
1922,Archibald,0,44
1922,Archie,0,44
1922,Arden,0,44
1922,Ares,0,44
1922,Arham,0,44
1922,Ari,0,44
1922,Aria,0,44
1922,Arian,0,44
1922,Arie,0,44
1922,Ariel,0,44
1922,Aries,0,44
1922,Ariyan,0,44
1922,Arjan,0,44
1922,Arjun,0,44
1922,Arlen,0,44
1922,Arlo,0,44
1922,Armaan,0,44
1922,Arman,0,44
1922,Armand,0,44
1922,Armin,0,44
1922,Arnav,0,44
1922,Arne,0,44
1922,Aron,0,44
1922,Arron,0,44
1922,Arrow,0,44
1922,Arshaan,0,44
1922,Arshdeep,0,44
1922,Artin,0,44
1922,Arvin,0,44
1922,Arvind,0,44
1922,Arya,0,44
1922,Aryan,0,44
1922,Asa,0,44
1922,Ash,0,44
1922,Ashaan,0,44
1922,Asher,0,44
1922,Ashley,0,44
1922,Ashton,0,44
1922,Ashwin,0,44
1922,Aston,0,44
1922,Atharv,0,44
1922,Atlas,0,44
1922,Atlin,0,44
1922,Atreus,0,44
1922,Atticus,0,44
1922,Attila,0,44
1922,Aubrey,0,44
1922,August,0,44
1922,Augustine,0,44
1922,Augustus,0,44
1922,Austen,0,44
1922,Austin,0,44
1922,Austyn,0,44
1922,Aveer,0,44
1922,Avery,0,44
1922,Avijot,0,44
1922,Avin,0,44
1922,Aviraj,0,44
1922,Avitaj,0,44
1922,Avraj,0,44
1922,Avyaan,0,44
1922,Axel,0,44
1922,Axl,0,44
1922,Axton,0,44
1922,Ayaan,0,44
1922,Ayan,0,44
1922,Ayansh,0,44
1922,Aydan,0,44
1922,Ayden,0,44
1922,Aydin,0,44
1922,Ayven,0,44
1922,Bailey,0,44
1922,Baker,0,44
1922,Baldeep,0,44
1922,Baljinder,0,44
1922,Baljit,0,44
1922,Balkaran,0,44
1922,Balraj,0,44
1922,Banks,0,44
1922,Barney,0,44
1922,Baron,0,44
1922,Barrett,0,44
1922,Barrie,0,44
1922,Barry,0,44
1922,Bart,0,44
1922,Barton,0,44
1922,Basil,0,44
1922,Bastian,0,44
1922,Bear,0,44
1922,Beau,0,44
1922,Beauden,0,44
1922,Beck,0,44
1922,Beckett,0,44
1922,Beckham,0,44
1922,Bellamy,0,44
1922,Ben,0,44
1922,Benedict,0,44
1922,Benjamin,0,44
1922,Benjy,0,44
1922,Bennett,0,44
1922,Benny,0,44
1922,Benoit,0,44
1922,Benson,0,44
1922,Bentley,0,44
1922,Bernhard,0,44
1922,Bernie,0,44
1922,Bert,0,44
1922,Bhupinder,0,44
1922,Bikram,0,44
1922,Bilal,0,44
1922,Bill,0,44
1922,Billy,0,44
1922,Bishop,0,44
1922,Bjorn,0,44
1922,Blain,0,44
1922,Blaine,0,44
1922,Blair,0,44
1922,Blaise,0,44
1922,Blake,0,44
1922,Blaze,0,44
1922,Bo,0,44
1922,Boaz,0,44
1922,Bobby,0,44
1922,Boden,0,44
1922,Bodhi,0,44
1922,Bodie,0,44
1922,Bodin,0,44
1922,Boone,0,44
1922,Boris,0,44
1922,Bosco,0,44
1922,Boston,0,44
1922,Bowen,0,44
1922,Bowie,0,44
1922,Boyd,0,44
1922,Brad,0,44
1922,Braden,0,44
1922,Bradford,0,44
1922,Bradley,0,44
1922,Bradly,0,44
1922,Brady,0,44
1922,Bradyn,0,44
1922,Braedan,0,44
1922,Braeden,0,44
1922,Braedon,0,44
1922,Braiden,0,44
1922,Brandan,0,44
1922,Branden,0,44
1922,Brandon,0,44
1922,Brandt,0,44
1922,Brandyn,0,44
1922,Brant,0,44
1922,Brantley,0,44
1922,Braxton,0,44
1922,Brayden,0,44
1922,Braydon,0,44
1922,Brendan,0,44
1922,Brenden,0,44
1922,Brendon,0,44
1922,Brennan,0,44
1922,Brennen,0,44
1922,Brent,0,44
1922,Brenton,0,44
1922,Bret,0,44
1922,Brett,0,44
1922,Brian,0,44
1922,Brighton,0,44
1922,Brixton,0,44
1922,Brock,0,44
1922,Broderick,0,44
