Year,Name,Frequency,Rank
1980,Amanda,199,1
1980,Melissa,162,2
1980,Jennifer,139,3
1980,Julie,100,4
1980,Sarah,79,5
1980,Lisa,77,6
1980,Amy,76,7
1980,Marie,67,8
1980,Melanie,67,8
1980,Michelle,60,10
1980,Angela,55,11
1980,Stephanie,54,12
1980,Tanya,52,13
1980,Erin,51,14
1980,Christine,47,15
1980,Heather,45,16
1980,Nicole,44,17
1980,Annie,43,18
1980,Cindy,43,18
1980,Sylvie,43,18
1981,Melissa,162,1
1981,Jennifer,160,2
1981,Amanda,138,3
1981,Julie,106,4
1981,Marie,101,5
1981,Sarah,98,6
1981,Amy,73,7
1981,Lisa,59,8
1981,Melanie,58,9
1981,Christine,56,10
1981,Stephanie,55,11
1981,Michelle,52,12
1981,Mélanie,50,13
1981,Angela,48,14
1981,Annie,46,15
1981,Tanya,46,15
1981,Cindy,43,17
1981,Krista,43,17
1981,Erin,42,19
1981,Heather,40,20
1982,Jennifer,174,1
1982,Melissa,137,2
1982,Amanda,126,3
1982,Jessica,95,4
1982,Marie,95,4
1982,Julie,92,6
1982,Sarah,92,6
1982,Melanie,82,8
1982,Amy,71,9
1982,Stephanie,65,10
1982,Crystal,60,11
1982,Angela,53,12
1982,Lisa,50,13
1982,Christine,48,14
1982,Michelle,45,15
1982,Erin,44,16
1982,Nicole,43,17
1982,Mélanie,41,18
1982,Nathalie,41,18
1982,Sylvie,40,20
1983,Jennifer,145,1
1983,Jessica,121,2
1983,Amanda,119,3
1983,Melissa,116,4
1983,Julie,95,5
1983,Sarah,90,6
1983,Stephanie,86,7
1983,Marie,74,8
1983,Amy,67,9
1983,Ashley,62,10
1983,Crystal,60,11
1983,Lisa,59,12
1983,Nicole,51,13
1983,Erin,50,14
1983,Melanie,48,15
1983,Isabelle,45,16
1983,Mélanie,45,16
1983,Michelle,43,18
1983,Angela,42,19
1983,Christine,42,19
1984,Jennifer,146,1
1984,Jessica,120,2
1984,Melissa,118,3
1984,Amanda,109,4
1984,Sarah,95,5
1984,Ashley,90,6
1984,Marie,83,7
1984,Stephanie,72,8
1984,Julie,70,9
1984,Laura,66,10
1984,Mélanie,56,11
1984,Amy,53,12
1984,Nicole,50,13
1984,Melanie,48,14
1984,Lisa,46,15
1984,Christine,44,16
1984,Michelle,44,16
1984,Danielle,42,18
1984,Megan,42,18
1984,Erin,41,20
1985,Jessica,124,1
1985,Jennifer,113,2
1985,Amanda,111,3
1985,Ashley,104,4
1985,Melissa,100,5
1985,Julie,89,6
1985,Sarah,84,7
1985,Stephanie,76,8
1985,Amy,74,9
1985,Laura,68,10
1985,Marie,61,11
1985,Mélanie,60,12
1985,Megan,52,13
1985,Melanie,49,14
1985,Christine,44,15
