Year,Name,Frequency,Rank
2003,Emma,not given,1
2003,Emily,not given,2
2003,Madison,not given,3
2003,Abigail,not given,4
2003,Sarah,not given,5
2003,Mackenzie,not given,6
2003,Olivia,not given,7
2003,Hannah,not given,8
2003,Chloe,not given,9
2003,Jenna,not given,10
2003,Brianna,not given,11
2003,Megan,not given,12
2003,Jessica,not given,13
2003,Kaitlyn,not given,14
2003,Hailey,not given,15
2003,Julia,not given,16
2003,Hayley,not given,17
2003,Rachel,not given,18
2003,Faith,not given,19
2003,Lauren,not given,20
2003,Taylor,not given,21
2003,Brooke,not given,22
2003,Anna,not given,23
2003,Samantha,not given,24
2003,Morgan,not given,25
2003,Victoria,not given,26
2003,Erica,not given,27
2003,Alexis,not given,28
2003,Rebecca,not given,29
2003,Amber,not given,30
2003,Katie,not given,31
2003,Sara,not given,32
2003,Ashley,not given,33
2003,Laura,not given,34
2003,Brooklyn,not given,35
2003,Alicia,not given,36
2003,Isabella,not given,37
2003,Grace,not given,38
2003,Amy,not given,39
2003,Sydney,not given,40
2003,Erin,not given,41
2003,Jasmine,not given,42
2003,Alyssa,not given,43
2003,Leah,not given,44
2003,Maria,not given,45
2003,Claire,not given,46
2003,Gracie,not given,47
2003,Amelia,not given,48
2003,Allison,not given,49
2003,Kate,not given,50
2003,Mary,not given,51
2003,Natalie,not given,52
2003,Meghan,not given,53
2003,Cassidy,not given,54
2003,Danielle,not given,55
2003,Stephanie,not given,56
2003,Jade,not given,57
2003,Tamara,not given,58
2003,Kylie,not given,59
2003,Elizabeth,not given,60
2003,Robyn,not given,61
2003,Caroline,not given,62
2003,Makayla,not given,63
2003,Julie,not given,64
2003,Katelyn,not given,65
2003,Summer,not given,66
2003,Shelby,not given,67
2003,Heather,not given,68
2003,Courtney,not given,69
2003,Cassie,not given,70
2003,Holly,not given,71
2003,Shannon,not given,72
2003,Sophia,not given,73
2003,Tori,not given,74
2003,Paige,not given,75
2003,Alexandra,not given,76
2003,Kennedy,not given,77
2003,Nikita,not given,78
2003,Haley,not given,79
2003,Lily,not given,80
2003,Mckenna,not given,81
2003,Andrea,not given,82
2003,Monica,not given,83
2003,Breanna,not given,84
2003,Amanda,not given,85
2003,Melissa,not given,86
2003,Kathleen,not given,87
2003,Kristen,not given,88
2003,Mckenzie,not given,89
2003,Alexandria,not given,90
2003,Cheyenne,not given,91
2003,Chelsea,not given,92
2003,Kailey,not given,93
2003,Hailee,not given,94
2003,Ocean,not given,95
2003,Shawna,not given,96
2003,Kaylee,not given,97
2003,Katherine,not given,98
2003,Catherine,not given,99
2003,Jennifer,not given,100
2004,Madison,not given,1
2004,Emma,not given,1
2004,Emma,not given,2
2004,Madison,not given,2
2004,Emily,not given,3
2004,Chloe,not given,3
2004,Abigail,not given,4
2004,Jenna,not given,4
2004,Chloe,not given,5
2004,Sarah,not given,5
2004,Hannah,not given,6
2004,Emily,not given,6
2004,Sarah,not given,7
2004,Abigail,not given,7
2004,Mackenzie,not given,8
2004,Hailey,not given,8
2004,Olivia,not given,9
2004,Brooklyn,not given,9
2004,Jenna,not given,10
2004,Hannah,not given,10
2004,Brianna,not given,11
2004,Amber,not given,11
2004,Hailey,not given,12
2004,Grace,not given,12
2004,Jessica,not given,13
2004,Julia,not given,13
2004,Amber,not given,14
2004,Morgan,not given,14
2004,Megan,not given,15
2004,Olivia,not given,15
2004,Brooke,not given,16
2004,Rebecca,not given,16
2004,Leah,not given,17
2004,Ava,not given,17
2004,Amy,not given,18
2004,Mackenzie,not given,18
2004,Claire,not given,19
2004,Sara,not given,19
2004,Rachel,not given,20
2004,Alyssa,not given,20
2004,Faith,not given,21
2004,Anna,not given,21
2004,Julia,not given,22
2004,Claire,not given,22
2004,Brooklyn,not given,23
2004,Jesse,not given,23
2004,Kaitlyn,not given,24
2004,Kaitlyn,not given,24
2004,Victoria,not given,25
2004,Rachel,not given,25
2004,Rebecca,not given,26
2004,Katie,not given,26
2004,Lauren,not given,27
2004,Lauren,not given,27
2004,Sara,not given,28
2004,Leah,not given,28
2004,Isabella,not given,29
2004,Jessica,not given,29
2004,Anna,not given,30
2004,Samantha,not given,30
2004,Morgan,not given,31
2004,Maria,not given,31
2004,Katie,not given,32
2004,Brooke,not given,32
2004,Samantha,not given,33
2004,Megan,not given,33
2004,Laura,not given,34
2004,Ashley,not given,34
2004,Taylor,not given,35
2004,Brianna,not given,35
2004,Grace,not given,36
2004,Hayley,not given,36
2004,Katherine,not given,37
2004,Jasmine,not given,37
2004,Natalie,not given,38
2004,Katelyn,not given,38
2004,Ella,not given,39
2004,Natalie,not given,40
2004,Paige,not given,41
2004,Sophie,not given,42
2004,Abby,not given,43
2004,Hope,not given,44
2004,Makayla,not given,45
2004,Alexandra,not given,46
2004,Alexis,not given,47
2004,Chelsea,not given,48
2004,Erica,not given,49
2004,Erin,not given,50
2004,Haley,not given,51
2004,Kylie,not given,52
2004,Lily,not given,53
2004,Dakota,not given,54
2004,Georgia,not given,55
2004,Isabella,not given,56
2004,Jorja,not given,57
2004,Molly,not given,58
2004,Amy,not given,59
2004,Annie,not given,60
2004,Destiny,not given,61
2004,Jada,not given,62
2004,Kate,not given,63
2004,Kaylee,not given,64
2004,Laura,not given,65
2004,Sophia,not given,66
2004,Allie,not given,67
2004,Cassie,not given,68
2004,Christina,not given,69
2004,Courtney,not given,70
2004,Gabrielle,not given,71
2004,Gracie,not given,72
2004,Heidi,not given,73
2004,Hilary,not given,74
2004,Jane,not given,75
2004,Keira,not given,76
2004,Mary,not given,77
2004,Miranda,not given,78
2004,Sydney,not given,79
2004,Heather,not given,80
2004,Julie,not given,81
2004,Kendra,not given,82
2004,Kyra,not given,83
2004,Melissa,not given,84
2004,Savannah,not given,85
2004,Stephanie,not given,86
2004,Alexa,not given,87
2004,Alicia,not given,88
2004,Bella,not given,89
2004,Breanna,not given,90
2004,Caitlyn,not given,91
2004,Callie,not given,92
2004,Carly,not given,93
2004,Caroline,not given,94
2004,Cassidy,not given,95
