Year,Name,Frequency,Rank
1920,Mary,639,1
1920,John,451,2
1920,Joseph,303,3
1920,James,269,4
1920,William,269,5
1920,George,247,6
1920,Margaret,238,7
1920,Marie,171,8
1920,Dorothy,163,9
1920,Annie,158,10
1920,Helen,152,11
1920,Charles,150,12
1920,Robert,142,13
1920,Donald,138,14
1920,Harold,121,15
1920,Arthur,111,16
1920,Jean,106,17
1920,Elizabeth,105,18
1920,Thomas,102,19
1920,Florence,94,20
1920,Ruth,87,21
1920,Catherine,84,22
1920,Doris,81,23
1920,Edward,80,24
1920,Alice,78,25
1920,Edith,78,26
1920,Gerald,77,27
1920,Walter,77,28
1920,Gordon,71,29
1920,Ralph,69,30
1920,Muriel,67,31
1920,Hazel,66,32
1920,Marjorie,65,33
1920,Kathleen,63,34
1920,Albert,62,35
1920,Evelyn,62,36
1920,Kenneth,62,37
1920,Douglas,61,38
1920,Lillian,61,39
1920,Ronald,57,40
1921,Mary,626,41
1921,John,490,42
1921,Joseph,355,43
1921,William,279,44
1921,James,244,45
1921,George,209,46
1921,Margaret,202,47
1921,Dorothy,185,48
1921,Charles,173,49
1921,Marie,167,50
1921,Donald,165,51
1921,Robert,156,52
1921,Helen,146,53
1921,Annie,126,54
1921,Arthur,112,55
1921,Harold,109,56
1921,Jean,107,57
1921,Florence,106,58
1921,Elizabeth,100,59
1921,Gerald,90,60
1921,Marion,89,61
1921,Edward,87,62
1921,Thomas,87,63
1921,Catherine,82,64
1921,Doris,81,65
1921,Alice,80,66
1921,Mildred,79,67
1921,Marjorie,75,68
1921,Muriel,71,69
1921,Lillian,70,70
1921,Ruth,70,71
1921,Ronald,69,72
1921,Edith,68,73
1921,Gordon,68,74
1921,Walter,67,75
1921,Douglas,66,76
1921,Evelyn,66,77
1921,Kenneth,66,78
1921,Ralph,66,79
1921,Albert,65,80
1922,Mary,594,81
1922,John,456,82
1922,Joseph,320,83
1922,James,279,84
1922,William,259,85
1922,Margaret,225,86
1922,Donald,191,87
1922,George,187,88
1922,Charles,169,89
1922,Marie,156,90
1922,Dorothy,152,91
1922,Robert,152,92
1922,Helen,138,93
1922,Annie,122,94
1922,Arthur,113,95
1922,Harold,107,96
1922,Catherine,100,97
1922,Elizabeth,97,98
1922,Doris,96,99
1922,Ruth,95,100
1922,Thomas,94,101
1922,Florence,90,102
1922,Walter,82,103
1922,Gerald,81,104
1922,Jean,81,105
1922,Edward,77,106
1922,Ralph,77,107
1922,Marion,76,108
1922,Kenneth,72,109
1922,Gordon,71,110
1922,Douglas,70,111
1922,Kathleen,69,112
1922,Muriel,69,113
1922,Edith,68,114
1922,Lillian,67,115
1922,Alexander,63,116
1922,Henry,63,117
1922,Mildred,63,118
1922,Marjorie,60,119
1922,Evelyn,58,120
1923,Mary,556,121
1923,John,375,122
1923,Joseph,303,123
1923,James,232,124
1923,William,214,125
1923,George,211,126
1923,Margaret,196,127
1923,Donald,185,128
1923,Marie,164,129
1923,Charles,154,130
1923,Dorothy,148,131
1923,Robert,132,132
1923,Helen,126,133
1923,Jean,121,134
1923,Harold,115,135
1923,Annie,108,136
1923,Gerald,90,137
1923,Elizabeth,86,138
1923,Florence,86,139
1923,Ruth,83,140
1923,Arthur,75,141
1923,Catherine,74,142
1923,Marjorie,72,143
1923,Douglas,71,144
1923,Doris,70,145
1923,Edward,70,146
1923,Walter,70,147
1923,Evelyn,69,148
1923,Thomas,69,149
1923,Kenneth,67,150
1923,Lillian,67,151
1923,Ronald,67,152
1923,Marion,66,153
1923,Harry,62,154
1923,Francis,59,155
1923,Edith,57,156
1923,Gordon,57,157
1923,Frances,54,158
1923,Alice,53,159
1923,Jessie,53,160
1924,Mary,563,161
1924,John,435,162
1924,Joseph,306,163
1924,James,247,164
1924,William,246,165
1924,Margaret,203,166
1924,George,196,167
1924,Donald,195,168
1924,Charles,160,169
1924,Marie,154,170
1924,Robert,141,171
1924,Dorothy,136,172
1924,Annie,128,173
1924,Helen,124,174
1924,Jean,124,175
1924,Harold,107,176
