Year,Name,Frequency,Rank
1920,Mary,639,1
1920,Margaret,238,2
1920,Marie,171,3
1920,Dorothy,163,4
1920,Annie,158,5
1920,Helen,152,6
1920,Jean,106,7
1920,Elizabeth,105,8
1920,Florence,94,9
1920,Ruth,87,10
1920,Catherine,84,11
1920,Doris,81,12
1920,Alice,78,13
1920,Edith,78,14
1920,Muriel,67,15
1920,Hazel,66,16
1920,Marjorie,65,17
1920,Kathleen,63,18
1920,Evelyn,62,19
1920,Lillian,61,20
1921,Mary,626,21
1921,Margaret,202,22
1921,Dorothy,185,23
1921,Marie,167,24
1921,Helen,146,25
1921,Annie,126,26
1921,Jean,107,27
1921,Florence,106,28
1921,Elizabeth,100,29
1921,Marion,89,30
1921,Catherine,82,31
1921,Doris,81,32
1921,Alice,80,33
1921,Mildred,79,34
1921,Marjorie,75,35
1921,Muriel,71,36
1921,Lillian,70,37
1921,Ruth,70,38
1921,Edith,68,39
1921,Evelyn,66,40
1922,Mary,594,41
1922,Margaret,225,42
1922,Marie,156,43
1922,Dorothy,152,44
1922,Helen,138,45
1922,Annie,122,46
1922,Catherine,100,47
1922,Elizabeth,97,48
1922,Doris,96,49
1922,Ruth,95,50
1922,Florence,90,51
1922,Jean,81,52
1922,Marion,76,53
1922,Kathleen,69,54
1922,Muriel,69,55
1922,Edith,68,56
1922,Lillian,67,57
1922,Mildred,63,58
1922,Marjorie,60,59
1922,Evelyn,58,60
1923,Mary,556,61
1923,Margaret,196,62
1923,Marie,164,63
1923,Dorothy,148,64
1923,Helen,126,65
1923,Jean,121,66
1923,Annie,108,67
1923,Elizabeth,86,68
1923,Florence,86,69
1923,Ruth,83,70
1923,Catherine,74,71
1923,Marjorie,72,72
1923,Doris,70,73
1923,Evelyn,69,74
1923,Lillian,67,75
1923,Marion,66,76
1923,Edith,57,77
1923,Frances,54,78
1923,Alice,53,79
1923,Jessie,53,80
1924,Mary,563,81
1924,Margaret,203,82
1924,Marie,154,83
1924,Dorothy,136,84
1924,Annie,128,85
1924,Helen,124,86
1924,Jean,124,87
1924,Marion,82,88
1924,Catherine,78,89
1924,Doris,76,90
1924,Florence,76,91
1924,Elizabeth,71,92
1924,Marjorie,69,93
1924,Ruth,66,94
1924,Evelyn,60,95
1924,Alice,58,96
1924,Kathleen,57,97
1924,Frances,56,98
1924,Shirley,53,99
1924,Lillian,50,100
1925,Mary,628,101
1925,Margaret,231,102
1925,Helen,152,103
1925,Dorothy,139,104
1925,Marie,135,105
1925,Jean,113,106
1925,Annie,110,107
1925,Florence,89,108
1925,Marjorie,85,109
1925,Catherine,84,110
1925,Marion,79,111
1925,Elizabeth,77,112
1925,Doris,75,113
1925,Shirley,75,114
1925,Alice,71,115
1925,Ruth,70,116
1925,Lillian,66,117
1925,Muriel,63,118
1925,Mildred,59,119
1925,Evelyn,57,120
1926,Mary,501,121
1926,Margaret,231,122
1926,Marie,148,123
1926,Helen,135,124
1926,Dorothy,122,125
1926,Elizabeth,108,126
1926,Annie,103,127
1926,Jean,95,128
1926,Catherine,91,129
1926,Marion,88,130
1926,Alice,77,131
1926,Doris,75,132
1926,Florence,75,133
1926,Marjorie,74,134
1926,Evelyn,72,135
1926,Frances,67,136
1926,Shirley,67,137
1926,Ruth,64,138
1926,Kathleen,62,139
1926,Anna,54,140
1927,Mary,522,141
1927,Margaret,193,142
1927,Marie,164,143
1927,Dorothy,129,144
1927,Helen,129,145
1927,Annie,107,146
1927,Catherine,102,147
1927,Elizabeth,100,148
1927,Jean,100,149
1927,Shirley,99,150
1927,Marion,85,151
1927,Florence,84,152
1927,Doris,76,153
1927,Theresa,69,154
1927,Marjorie,68,155
1927,Mildred,63,156
1927,Frances,56,157
