Year,Name,Frequency,Rank
2013,Liam,92,1
2013,Emma,81,2
2013,Sophia,72,3
2013,Carter,68,4
2013,Noah,66,5
2013,Emily,64,6
2013,Lucas,64,7
2013,Olivia,64,8
2013,Ethan,60,9
2013,Jacob,56,10
2013,Lily,54,11
2013,Mason,54,12
2013,William,54,13
2013,Owen,53,14
2013,Ava,52,15
2013,Jace,50,16
2013,Alexander,49,17
2013,Jaxon,49,18
2013,Bentley,47,19
2013,Benjamin,45,20
2013,Jase,45,1
2013,Brooklyn,44,2
2013,Logan,44,3
2013,Hudson,43,4
2013,Zoey,43,5
2013,Hunter,42,6
2013,Ryder,42,7
2013,Brielle,40,8
2013,Samuel,40,9
2013,Avery,38,10
2013,Grace,38,11
2013,Hannah,38,12
2013,Hailey,37,13
2013,Isabella,37,14
2013,Mia,37,15
2013,Aubrey,34,16
2013,Abigail,33,17
2013,Ella,33,18
2013,Sadie,33,19
2013,Chloe,32,20
2014,Liam,85,1
2014,Emma,79,2
2014,Olivia,76,3
2014,Sophia,69,4
2014,Emily,67,5
2014,William,67,6
2014,Noah,66,7
2014,Jacob,62,8
2014,Mason,60,9
2014,Hudson,57,10
2014,Logan,57,11
2014,Alexander,56,12
2014,Carter,56,13
2014,Jaxon,56,14
2014,Jack,55,15
2014,Lucas,55,16
2014,Ava,54,17
2014,Brooklyn,52,18
2014,Hunter,52,19
2014,Oliver,52,20
2014,Lincoln,51,1
2014,Luke,50,2
2014,Avery,48,3
2014,Owen,48,4
2014,Samuel,48,5
2014,Ethan,47,6
2014,Sadie,47,7
2014,Benjamin,45,8
2014,Lily,45,9
2014,Ella,43,10
2014,Chloe,40,11
2014,Abigail,36,12
2014,Harper,36,13
2014,Isabella,36,14
2014,Zoey,36,15
2014,Claire,35,16
2014,Hannah,35,17
2014,Aria,34,18
2014,Sarah,34,19
2014,Aubrey,32,20
2015,Olivia,80,1
2015,Liam,69,2
2015,Noah,65,3
2015,Benjamin,64,4
2015,Emily,63,5
2015,Emma,62,6
2015,Lincoln,57,7
2015,Lucas,57,8
2015,William,57,9
2015,Ava,56,10
2015,Wyatt,54,11
2015,Avery,53,12
2015,Hudson,53,13
2015,Sophia,53,14
2015,Hunter,52,15
2015,Jack,51,16
2015,Jacob,50,17
2015,Carter,48,18
2015,Owen,48,19
2015,Samuel,48,20
2015,Alexander,46,1
2015,Ethan,46,2
2015,Logan,46,3
2015,Zoey,45,4
2015,Brooklyn,44,5
2015,Grayson,44,6
2015,Jackson,44,7
2015,Aria,43,8
2015,Asher,42,9
2015,Mia,41,10
2015,Hannah,40,11
2015,Lily,40,12
2015,Claire,39,13
2015,Chloe,38,14
2015,Sophie,38,15
2015,Addison,37,16
2015,Charlotte,37,17
2015,Ella,36,18
2015,Isabella,36,19
2015,Scarlett,34,20
2016,Olivia,79,1
2016,Emma,78,2
2016,Liam,73,3
2016,William,65,4
2016,Ava,64,5
2016,Oliver,60,6
2016,Emily,58,7
2016,Benjamin,57,8
2016,Noah,57,9
2016,Lucas,55,10
2016,Ethan,54,11
2016,Sophia,52,12
2016,Amelia,51,13
2016,Carter,51,14
2016,Jack,50,15
2016,Logan,49,16
2016,Hunter,48,17
2016,Alexander,47,18
2016,Owen,44,19
2016,Chloe,43,20
2016,Jackson,43,1
2016,Jacob,43,2
2016,Lincoln,43,3
2016,Ella,42,4
2016,Mason,41,5
2016,Paisley,41,6
2016,Scarlett,41,7
2016,Luke,40,8
2016,Wyatt,40,9
2016,Brielle,39,10
2016,Hudson,39,11
2016,Claire,38,12
2016,Charlotte,37,13
2016,Abigail,36,14
2016,Sadie,36,15
2016,Lily,35,16
2016,Hannah,34,17
2016,Harper,33,18
2016,Addison,32,19
2016,Elizabeth,32,20
2017,Olivia,81,1
2017,Liam,73,2
2017,Ava,65,3
2017,William,59,4
2017,Emma,58,5
2017,Jacob,57,6
2017,Oliver,57,7
2017,Lincoln,54,8
2017,Owen,54,9
2017,Noah,53,10
2017,Benjamin,52,11
2017,Emily,51,12
2017,James,47,13
2017,Jack,46,14
2017,Lucas,46,15
2017,Alexander,45,16
2017,Gabriel,45,17
2017,Leo,44,18
2017,Logan,44,19
2017,Sophia,44,20
2017,Ethan,43,1
2017,Harper,43,2
2017,Amelia,42,3
2017,Daniel,42,4
2017,Asher,41,5
2017,Hunter,41,6
2017,Levi,41,7
2017,Hannah,37,8
2017,Aria,36,9
2017,Lily,36,10
2017,Brielle,35,11
2017,Ella,35,12
2017,Madison,35,13
2017,Quinn,35,14
2017,Abigail,34,15
2017,Addison,34,16
2017,Chloe,34,17
2017,Elizabeth,34,18
2017,Grace,34,19
2017,Hazel,34,20
2018,Liam,85,1
2018,Olivia,70,2
2018,Emma,62,3
2018,Oliver,61,4
2018,Benjamin,59,5
2018,Noah,58,6
2018,Harper,55,7
2018,Jacob,55,8
2018,Lincoln,54,9
2018,Jack,50,10
2018,Logan,50,11
2018,Sophia,49,12
2018,Ava,48,13
2018,James,48,14
2018,Hudson,47,15
2018,Levi,46,16
2018,Ella,45,17
2018,William,45,18
2018,Charlotte,44,19
2018,Lucas,44,20
2018,Ethan,43,1
2018,Ryker,43,2
2018,Mason,42,3
2018,Emily,41,4
2018,Grayson,41,5
2018,Elijah,40,6
2018,Lily,40,7
2018,Scarlett,40,8
2018,Alexander,39,9
2018,Emmett,39,10
2018,Hannah,38,11
2018,Abigail,37,12
2018,Ellie,36,13
2018,Elizabeth,35,14
2018,Avery,34,15
2018,Grace,34,16
2018,Paisley,34,17
2018,Hazel,32,18
2018,Amelia,30,19
2018,Ivy,29,20
2019,Liam,91,1
2019,Olivia,62,2
2019,Noah,61,3
2019,William,61,4
2019,Jack,56,5
2019,Amelia,55,6
2019,Sophia,50,7
2019,Benjamin,48,8
2019,Emmett,47,9
2019,Harper,47,10
2019,Owen,46,11
2019,Ava,45,12
2019,Lucas,45,13
2019,Theodore,45,14
2019,Emma,44,15
2019,Logan,42,16
2019,Asher,41,17
2019,Ethan,41,18
2019,Wyatt,41,19
2019,Jacob,40,20
2019,Oliver,39,1
2019,Ella,38,2
2019,Thomas,37,3
2019,Ellie,36,4
2019,Emily,36,5
2019,James,36,6
2019,Aria,35,7
2019,Brielle,35,8
2019,Charlotte,35,9
2019,Alexander,34,10
2019,Scarlett,34,11
2019,Violet,34,12
2019,Everly,33,13
2019,Jackson,33,14
2019,Maverick,33,15
2019,Nora,32,16
2019,Hannah,31,17
2019,Chloe,30,18
2019,Hazel,30,19
2019,Sadie,30,20
2020,Olivia,79,1
2020,Liam,74,2
2020,Amelia,55,3
2020,Jack,53,4
2020,Emma,50,5
2020,Oliver,49,6
2020,Hudson,48,7
2020,Noah,47,8
2020,William,47,9
2020,Lucas,44,10
2020,Benjamin,43,11
2020,Emily,43,12
2020,Theodore,43,13
2020,Bennett,41,14
2020,Henry,41,15
2020,Lincoln,41,16
2020,Luke,41,17
2020,Sophia,41,18
2020,Maverick,39,19
2020,Owen,39,20
2020,James,38,1
2020,Levi,38,2
2020,Asher,37,3
2020,Ava,37,4
2020,Harper,37,5
2020,Wyatt,36,6
2020,Addison,35,7
2020,Brooks,35,8
2020,Ellie,35,9
2020,Scarlett,35,10
2020,Charlotte,32,11
2020,Isla,32,12
2020,Hazel,30,13
2020,Abigail,29,14
2020,Aurora,29,15
2020,Ivy,28,16
2020,Elizabeth,27,17
2020,Evelyn,27,18
2020,Nora,25,19
2020,Madison,24,20
2021,Noah,65,1
2021,Liam,61,2
2021,Theodore,59,3
2021,Oliver,58,4
2021,Olivia,57,5
2021,William,53,6
2021,Hudson,50,7
2021,Levi,50,8
2021,Lincoln,50,9
2021,Sophia,47,10
2021,Emma,43,11
2021,Grayson,41,12
2021,Jackson,41,13
2021,Willow,41,14
2021,Henry,40,15
2021,Ava,39,16
2021,Benjamin,39,17
2021,Brooks,39,18
2021,Maverick,39,19
2021,Lucas,38,20
2021,Jack,37,1
2021,Bennett,36,2
2021,Emmett,36,3
2021,Leo,36,4
2021,Rhett,35,5
2021,Isla,34,6
2021,Abigail,32,7
2021,Amelia,31,8
2021,Charlotte,31,9
2021,Ellie,31,10
2021,Harper,31,11
2021,Hazel,31,12
2021,Lily,31,13
2021,Scarlett,31,14
2021,Aria,30,15
2021,Ella,30,16
2021,Emily,29,17
2021,Aurora,28,18
2021,Avery,27,19
2021,Nova,27,20
2022,Olivia,60,1
2022,Noah,58,2
