Year,Name,Frequency,Rank
2013,Emma,81,1
2013,Sophia,72,2
2013,Emily,64,3
2013,Olivia,64,4
2013,Lily,54,5
2013,Ava,52,6
2013,Brooklyn,44,7
2013,Zoey,43,8
2013,Brielle,40,9
2013,Avery,38,10
2013,Grace,38,11
2013,Hannah,38,12
2013,Hailey,37,13
2013,Isabella,37,14
2013,Mia,37,15
2013,Aubrey,34,16
2013,Abigail,33,17
2013,Ella,33,18
2013,Sadie,33,19
2013,Chloe,32,20
2014,Emma,79,1
2014,Olivia,76,2
2014,Sophia,69,3
2014,Emily,67,4
2014,Ava,54,5
2014,Brooklyn,52,6
2014,Avery,48,7
2014,Sadie,47,8
2014,Lily,45,9
2014,Ella,43,10
2014,Chloe,40,11
2014,Abigail,36,12
2014,Harper,36,13
2014,Isabella,36,14
2014,Zoey,36,15
2014,Claire,35,16
2014,Hannah,35,17
2014,Aria,34,18
2014,Sarah,34,19
2014,Aubrey,32,20
2015,Olivia,80,1
2015,Emily,63,2
2015,Emma,62,3
2015,Ava,56,4
2015,Avery,53,5
2015,Sophia,53,6
2015,Zoey,45,7
2015,Brooklyn,44,8
2015,Aria,43,9
2015,Mia,41,10
2015,Hannah,40,11
2015,Lily,40,12
2015,Claire,39,13
2015,Chloe,38,14
2015,Sophie,38,15
2015,Addison,37,16
2015,Charlotte,37,17
2015,Ella,36,18
2015,Isabella,36,19
2015,Scarlett,34,20
2016,Olivia,79,1
2016,Emma,78,2
2016,Ava,64,3
2016,Emily,58,4
2016,Sophia,52,5
2016,Amelia,51,6
2016,Chloe,43,7
2016,Ella,42,8
2016,Paisley,41,9
2016,Scarlett,41,10
2016,Brielle,39,11
2016,Claire,38,12
2016,Charlotte,37,13
2016,Abigail,36,14
2016,Sadie,36,15
2016,Lily,35,16
2016,Hannah,34,17
2016,Harper,33,18
2016,Addison,32,19
2016,Elizabeth,32,20
2017,Olivia,81,1
2017,Ava,65,2
2017,Emma,58,3
2017,Emily,51,4
2017,Sophia,44,5
2017,Harper,43,6
2017,Amelia,42,7
2017,Hannah,37,8
2017,Aria,36,9
2017,Lily,36,10
2017,Brielle,35,11
2017,Ella,35,12
2017,Madison,35,13
2017,Quinn,35,14
2017,Abigail,34,15
2017,Addison,34,16
2017,Chloe,34,17
2017,Elizabeth,34,18
2017,Grace,34,19
2017,Hazel,34,20
2018,Olivia,70,1
2018,Emma,62,2
2018,Harper,55,3
2018,Sophia,49,4
2018,Ava,48,5
2018,Ella,45,6
2018,Charlotte,44,7
2018,Emily,41,8
2018,Lily,40,9
2018,Scarlett,40,10
2018,Hannah,38,11
2018,Abigail,37,12
2018,Ellie,36,13
2018,Elizabeth,35,14
2018,Avery,34,15
2018,Grace,34,16
2018,Paisley,34,17
2018,Hazel,32,18
2018,Amelia,30,19
2018,Ivy,29,20
2019,Olivia,62,1
2019,Amelia,55,2
2019,Sophia,50,3
2019,Harper,47,4
2019,Ava,45,5
2019,Emma,44,6
2019,Ella,38,7
2019,Ellie,36,8
2019,Emily,36,9
2019,Aria,35,10
2019,Brielle,35,11
2019,Charlotte,35,12
2019,Scarlett,34,13
2019,Violet,34,14
2019,Everly,33,15
2019,Nora,32,16
2019,Hannah,31,17
2019,Chloe,30,18
2019,Hazel,30,19
2019,Sadie,30,20
2020,Olivia,79,1
2020,Amelia,55,2
2020,Emma,50,3
2020,Emily,43,4
2020,Sophia,41,5
2020,Ava,37,6
2020,Harper,37,7
2020,Addison,35,8
2020,Ellie,35,9
2020,Scarlett,35,10
2020,Charlotte,32,11
2020,Isla,32,12
2020,Hazel,30,13
2020,Abigail,29,14
2020,Aurora,29,15
2020,Ivy,28,16
2020,Elizabeth,27,17
2020,Evelyn,27,18
2020,Nora,25,19
2020,Madison,24,20
2021,Olivia,57,1
2021,Sophia,47,2
2021,Emma,43,3
2021,Willow,41,4
2021,Ava,39,5
2021,Isla,34,6
2021,Abigail,32,7
2021,Amelia,31,8
2021,Charlotte,31,9
2021,Ellie,31,10
2021,Harper,31,11
2021,Hazel,31,12
2021,Lily,31,13
2021,Scarlett,31,14
2021,Aria,30,15
2021,Ella,30,16
2021,Emily,29,17
2021,Aurora,28,18
2021,Avery,27,19
2021,Nova,27,20
2022,Olivia,60,1
2022,Amelia,44,2
2022,Emma,43,3
2022,Ava,41,4
2022,Lily,39,5
2022,Sophia,37,6
2022,Isla,35,7
2022,Charlotte,33,8
2022,Willow,32,9
2022,Abigail,31,10
2022,Nora,31,11
2022,Aurora,28,12
2022,Chloe,28,13
2022,Ivy,28,14
2022,Mia,28,15
2022,Ellie,27,16
2022,Scarlett,27,17
2022,Ella,26,18
2022,Emily,26,19
2022,Hazel,26,20
