Year,Name,Frequency,Rank
2013,Liam,92,1
2013,Carter,68,2
2013,Noah,66,3
2013,Lucas,64,4
2013,Ethan,60,5
2013,Jacob,56,6
2013,Mason,54,7
2013,William,54,8
2013,Owen,53,9
2013,Jace,50,10
2013,Alexander,49,11
2013,Jaxon,49,12
2013,Bentley,47,13
2013,Benjamin,45,14
2013,Jase,45,15
2013,Logan,44,16
2013,Hudson,43,17
2013,Hunter,42,18
2013,Ryder,42,19
2013,Samuel,40,20
2014,Liam,85,1
2014,William,67,2
2014,Noah,66,3
2014,Jacob,62,4
2014,Mason,60,5
2014,Hudson,57,6
2014,Logan,57,7
2014,Alexander,56,8
2014,Carter,56,9
2014,Jaxon,56,10
2014,Jack,55,11
2014,Lucas,55,12
2014,Hunter,52,13
2014,Oliver,52,14
2014,Lincoln,51,15
2014,Luke,50,16
2014,Owen,48,17
2014,Samuel,48,18
2014,Ethan,47,19
2014,Benjamin,45,20
2015,Liam,69,1
2015,Noah,65,2
2015,Benjamin,64,3
2015,Lincoln,57,4
2015,Lucas,57,5
2015,William,57,6
2015,Wyatt,54,7
2015,Hudson,53,8
2015,Hunter,52,9
2015,Jack,51,10
2015,Jacob,50,11
2015,Carter,48,12
2015,Owen,48,13
2015,Samuel,48,14
2015,Alexander,46,15
2015,Ethan,46,16
2015,Logan,46,17
2015,Grayson,44,18
2015,Jackson,44,19
2015,Asher,42,20
2016,Liam,73,1
2016,William,65,2
2016,Oliver,60,3
2016,Benjamin,57,4
2016,Noah,57,5
2016,Lucas,55,6
2016,Ethan,54,7
2016,Carter,51,8
2016,Jack,50,9
2016,Logan,49,10
2016,Hunter,48,11
2016,Alexander,47,12
2016,Owen,44,13
2016,Jackson,43,14
2016,Jacob,43,15
2016,Lincoln,43,16
2016,Mason,41,17
2016,Luke,40,18
2016,Wyatt,40,19
2016,Hudson,39,20
2017,Liam,73,1
2017,William,59,2
2017,Jacob,57,3
2017,Oliver,57,4
2017,Lincoln,54,5
2017,Owen,54,6
2017,Noah,53,7
2017,Benjamin,52,8
2017,James,47,9
2017,Jack,46,10
2017,Lucas,46,11
2017,Alexander,45,12
2017,Gabriel,45,13
2017,Leo,44,14
2017,Logan,44,15
2017,Ethan,43,16
2017,Daniel,42,17
2017,Asher,41,18
2017,Hunter,41,19
2017,Levi,41,20
2018,Liam,85,1
2018,Oliver,61,2
2018,Benjamin,59,3
2018,Noah,58,4
2018,Jacob,55,5
2018,Lincoln,54,6
2018,Jack,50,7
2018,Logan,50,8
2018,James,48,9
2018,Hudson,47,10
2018,Levi,46,11
2018,William,45,12
2018,Lucas,44,13
2018,Ethan,43,14
2018,Ryker,43,15
2018,Mason,42,16
2018,Grayson,41,17
2018,Elijah,40,18
2018,Alexander,39,19
2018,Emmett,39,20
2019,Liam,91,1
2019,Noah,61,2
2019,William,61,3
2019,Jack,56,4
2019,Benjamin,48,5
2019,Emmett,47,6
2019,Owen,46,7
2019,Lucas,45,8
2019,Theodore,45,9
2019,Logan,42,10
2019,Asher,41,11
2019,Ethan,41,12
2019,Wyatt,41,13
2019,Jacob,40,14
2019,Oliver,39,15
2019,Thomas,37,16
2019,James,36,17
2019,Alexander,34,18
2019,Jackson,33,19
2019,Maverick,33,20
2020,Liam,74,1
2020,Jack,53,2
2020,Oliver,49,3
2020,Hudson,48,4
2020,Noah,47,5
2020,William,47,6
2020,Lucas,44,7
2020,Benjamin,43,8
2020,Theodore,43,9
2020,Bennett,41,10
2020,Henry,41,11
2020,Lincoln,41,12
2020,Luke,41,13
2020,Maverick,39,14
2020,Owen,39,15
2020,James,38,16
2020,Levi,38,17
2020,Asher,37,18
2020,Wyatt,36,19
2020,Brooks,35,20
2021,Noah,65,1
2021,Liam,61,2
2021,Theodore,59,3
2021,Oliver,58,4
2021,William,53,5
2021,Hudson,50,6
2021,Levi,50,7
2021,Lincoln,50,8
2021,Grayson,41,9
2021,Jackson,41,10
2021,Henry,40,11
2021,Benjamin,39,12
2021,Brooks,39,13
2021,Maverick,39,14
2021,Lucas,38,15
2021,Jack,37,16
2021,Bennett,36,17
2021,Emmett,36,18
2021,Leo,36,19
2021,Rhett,35,20
